Name,Source,Rarity,Type,Attunement,Properties,Weight,Value,Text
Handaxe,PHB,none,"weapon, simple weapon, melee weapon",,"1d6, slashing, - light, thrown (20/60 ft.)",2 lb.,5 gp," Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
Healer's Kit,PHB,none,adventuring gear,,,3 lb.,5 gp,"This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check."
Hematite,DMG,none,treasure,,,,10 gp,An opaque gray-black gemstone.
Hempen Rope (50 feet),PHB,none,adventuring gear,,,10 lb.,1 gp,"Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check."
Herbalism Kit,PHB,none,tools,,,3 lb.,5 gp,"This kit contains a variety of instruments such as clippers, mortar and pestle, and pouches and vials used by herbalists to create remedies and potions. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to identify or apply herbs. Also, proficiency with this kit is required to create antitoxin and potions of healing.Proficiency with an herbalism kit allows you to identify plants and safely collect their useful elements. Components. An herbalism kit includes pouches to store herbs, clippers and leather gloves for collecting plants, a mortar and pestle, and several glass jars. Arcana. Your knowledge of the nature and uses of herbs can add insight to your magical studies that deal with plants and your attempts to identify potions. Investigation. When you inspect an area overgrown with plants, your proficiency can help you pick out details and clues that others might miss. Medicine. Your mastery of herbalism improves your ability to treat illnesses and wounds by augmenting your methods of care with medicinal plants. Nature and Survival. When you travel in the wild, your skill in herbalism makes it easier to identify plants and spot sources of food that others might overlook. Identify Plants. You can identify most plants with a quick inspection of their appearance and smell.Herbalism KitActivityDCFind plants15Identify poison20See the Tool Proficiencies entry for more information."
Hide Armor,PHB,none,medium armor,,AC 12 + Dex (max 2),12 lb.,10 gp,"This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor."
Holy Water (flask),PHB,none,adventuring gear,,,1 lb.,25 gp,"As an action, you can splash the contents of this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. In either case, make a ranged attack against a target creature, treating the holy water as an improvised weapon. If the target is a fiend or undead, it takes 2d6 radiant damage.A cleric or paladin may create holy water by performing a special ritual. The ritual takes 1 hour to perform, uses 25 gp worth of powdered silver, and requires the caster to expend a 1st-level spell slot."
Hooded Lantern,PHB,none,adventuring gear,,,2 lb.,5 gp,"A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius."
Horn,PHB,none,Instrument,,,2 lb.,3 gp,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
Hourglass,PHB,none,adventuring gear,,,1 lb.,25 gp,
Hunting Trap,PHB,none,adventuring gear,,,25 lb.,5 gp,"When you use your action to set it, this trap forms a saw-toothed steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 piercing damage and stop moving. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet long). A creature can use its action to make a DC 13 Strength check, freeing itself or another creature within its reach on a success. Each failed check deals 1 piercing damage to the trapped creature."
Ink (1-ounce bottle),PHB,none,adventuring gear,,,,10 gp,Ink (1-ounce bottle)
Insect Repellent (greasy salve),ToA,none,adventuring gear,,,,1 gp,Insect repellent can be purchased in Port Nyanzaru in two forms: blocks of incense or a greasy salve. The merchant prince Kwayothe controls the sale of both. Neither kind of repellent protects against giant insects or the vile swarms of insects described in appendix A of the Monster Manual.A gourd or vial of salve contains 20 applications of odorless grease. One application protects its wearer against normal insects for 24 hours. The salve is waterproof so it doesn't wash off in rain.
Iron Pot,PHB,none,adventuring gear,,,10 lb.,2 gp,An iron pot holds 1 gallon of liquid.
Iron Spikes (10),PHB,none,adventuring gear,,,5 lb.,1 gp,
Jeweler's Tools,PHB,none,Artisan's Tools,,,2 lb.,25 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Training with jeweler's tools includes the basic techniques needed to beautify gems. It also gives you expertise in identifying precious stones. Components. Jeweler's tools consist of a small saw and hammer, files, pliers, and tweezers. Arcana. Proficiency with jeweler's tools grants you knowledge about the reputed mystical uses of gems. This insight proves handy when you make Arcana checks related to gems or gem-encrusted items. Investigation. When you inspect jeweled objects, your proficiency with jeweler's tools aids you in picking out clues they might hold. Identify Gems. You can identify gems and determine their value at a glance.Jeweler's ToolsActivityDCModify a gem's appearance15Determine a gem's history20See the Tool Proficiencies entry for more information."
Lance,PHB,none,"weapon, martial weapon, melee weapon",,"1d12, piercing, - reach, special",6 lb.,10 gp," Special. You have disadvantage when you use a lance to attack a target within 5 feet of you. Also, a lance requires two hands to wield when you aren't mounted. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon."
Lapis Lazuli,DMG,none,treasure,,,,10 gp,An opaque light and dark blue with yellow flecks gemstone.
Leather Armor,PHB,none,light armor,,AC 11 + Dex,10 lb.,10 gp,The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.
Leatherworker's Tools,PHB,none,Artisan's Tools,,,5 lb.,5 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Knowledge of leatherworking extends to lore concerning animal hides and their properties. It also confers knowledge of leather armor and similar goods. Components. Leatherworker's tools include a knife, a small mallet, an edger, a hole punch, thread, and leather scraps. Arcana. Your expertise in working with leather grants you added insight when you inspect magic items crafted from leather, such as boots and some cloaks. Investigation. You gain added insight when studying leather items or clues related to them, as you draw on your knowledge of leather to pick out details that others would overlook. Identify Hides. When looking at a hide or a leather item, you can determine the source of the leather and any special techniques used to treat it. For example, you can spot the difference between leather crafted using dwarven methods and leather crafted using halfling methods.Leatherworker's ToolsActivityDCModify a leather item's appearance10Determine a leather item's history20See the Tool Proficiencies entry for more information."
Light Crossbow,PHB,none,"weapon, range, simple weapon",,"1d8, piercing, - ammunition (80/320 ft.), loading, two-handed",5 lb.,25 gp," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Light Hammer,PHB,none,"weapon, simple weapon, melee weapon",,"1d4, bludgeoning, - light, thrown (20/60 ft.)",2 lb.,2 gp," Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
Linen (1 sq. yd.),PHB,none,Trade Good,,,,5 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Lock,PHB,none,adventuring gear,,,1 lb.,10 gp,"A key is provided with the lock. Without the key, a creature proficient with thieves' tools can pick this lock with a successful DC 15 Dexterity check. Your DM may decide that better locks are available for higher prices."
Longsword,PHB,none,"weapon, martial weapon, melee weapon",,"1d8, slashing, - versatile (1d10)",3 lb.,15 gp, Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
Lute,PHB,none,Instrument,,,2 lb.,35 gp,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
Lyre,PHB,none,Instrument,,,2 lb.,30 gp,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
Mace,PHB,none,"weapon, simple weapon, melee weapon",,"1d6, bludgeoning",4 lb.,5 gp,
Malachite,DMG,none,treasure,,,,10 gp,An opaque striated light and dark green gemstone.
Manacles,PHB,none,adventuring gear,,,6 lb.,2 gp,"These metal restraints can bind a Small or Medium creature. Escaping the manacles requires a successful DC 20 Dexterity check. Breaking them requires a successful DC 20 Strength check. Each set of manacles comes with one key. Without the key, a creature proficient with thieves' tools can pick the manacles' lock with a successful DC 15 Dexterity check. Manacles have 15 hit points."
Map or Scroll Case,PHB,none,adventuring gear,,,1 lb.,1 gp,This cylindrical leather case can hold up to ten rolled-up sheets of paper or five rolled-up sheets of parchment.
Mason's Tools,PHB,none,Artisan's Tools,,,8 lb.,10 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Mason's tools allow you to craft stone structures, including walls and buildings crafted from brick. Components. Mason's tools consist of a trowel, a hammer, a chisel, brushes, and a square. History. Your expertise aids you in identifying a stone building's date of construction and purpose, along with insight into who might have built it. Investigation. You gain additional insight when inspecting areas within stone structures. Perception. You can spot irregularities in stone walls or floors, making it easier to find trap doors and secret passages. Demolition. Your knowledge of masonry allows you to spot weak points in brick walls. You deal double damage to such structures with your weapon attacks.Mason's ToolsActivityDCChisel a small hole in a stone wall10Find a weak point in a stone wall15See the Tool Proficiencies entry for more information."
Maul,PHB,none,"weapon, martial weapon, melee weapon",,"2d6, bludgeoning, - heavy, two-handed",10 lb.,10 gp," Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Merchant's Scale,PHB,none,adventuring gear,,,3 lb.,5 gp,"A scale includes a small balance, pans, and a suitable assortment of weights up to 2 pounds. With it, you can measure the exact weight of small objects, such as raw precious metals or trade goods, to help determine their worth."
Military Saddle,PHB,none,tack and harness,,,30 lb.,20 gp,"A military saddle braces the rider, helping you keep your seat on an active mount in battle. It gives you advantage on any check you make to remain mounted."
Miner's Pick,PHB,none,adventuring gear,,,10 lb.,2 gp,
Monster Hunter's Pack,VRGR,none,adventuring gear,,,48½ lb.,33 gp,Includes:a chesta crowbara hammerthree wooden stakesa holy symbola flask of holy watera set of manaclesa steel mirrora flask of oila tinderbox3 torches
Morningstar,PHB,none,"weapon, martial weapon, melee weapon",,"1d8, piercing",4 lb.,15 gp,
Moss Agate,DMG,none,treasure,,,,10 gp,A translucent pink or yellow-white with mossy gray or green markings gemstone.
Navigator's Tools,PHB,none,tools,,,2 lb.,25 gp,"This set of instruments is used for navigation at sea. Proficiency with navigator's tools lets you chart a ship's course and follow navigation charts. In addition, these tools allow you to add your proficiency bonus to any ability check you make to avoid getting lost at sea.Proficiency with navigator's tools helps you determine a true course based on observing the stars. It also grants you insight into charts and maps while developing your sense of direction. Components. Navigator's tools include a sextant, a compass, calipers, a ruler, parchment, ink, and a quill. Survival. Knowledge of navigator's tools helps you avoid becoming lost and also grants you insight into the most likely location for roads and settlements. Sighting. By taking careful measurements, you can determine your position on a nautical chart and the time of day.Navigator's ToolsActivityDCPlot a course10Discover your position on a nautical chart15See the Tool Proficiencies entry for more information."
Net,PHB,none,"weapon, range, martial weapon",,"special, thrown (5/15 ft.)",3 lb.,1 gp," Special. A Large or smaller creature hit by a net is restrained until it is freed. A net has no effect on creatures that are formless, or creatures that are Huge or larger. A creature can use its action to make a DC 10 Strength check, freeing itself or another creature within its reach on a success. Dealing 5 slashing damage to the net (AC 10) also frees the creature without harming it, ending the effect and destroying the net. When you use an action, bonus action, or reaction to attack with a net, you can make only one attack regardless of the number of attacks you can normally make. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
Obsidian,DMG,none,treasure,,,,10 gp,An opaque black gemstone.
Orb,PHB,none,spellcasting focus,,,3 lb.,20 gp,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
Ox,PHB,none,Trade Good,,,,15 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Pack Saddle,PHB,none,tack and harness,,,15 lb.,5 gp,
Padded Armor,PHB,none,light armor,,AC 11 + Dex,8 lb.,5 gp,Padded armor consists of quilted layers of cloth and batting.The wearer has disadvantage on Dexterity (Stealth) checks.
Painter's Supplies,PHB,none,Artisan's Tools,,,5 lb.,10 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Proficiency with painter's supplies represents your ability to paint and draw. You also acquire an understanding of art history, which can aid you in examining works of art. Components. Painter's supplies include an easel, canvas, paints, brushes, charcoal sticks, and a palette. Arcana, History, Religion. Your expertise aids you in uncovering lore of any sort that is attached to a work of art, such as the magical properties of a painting or the origins of a strange mural found in a dungeon. Investigation, Perception. When you inspect a painting or a similar work of visual art, your knowledge of the practices behind creating it can grant you additional insight. Painting and Drawing. As part of a short or long rest, you can produce a simple work of art. Although your work might lack precision, you can capture an image or a scene, or make a quick copy of a piece of art you saw.Painter's SuppliesActivityDCPaint an accurate portrait10Create a painting with a hidden message20See the Tool Proficiencies entry for more information."
Pair of engraved bone dice,DMG,none,treasure,,,,25 gp,
Pan Flute,PHB,none,Instrument,,,2 lb.,12 gp,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
Pepper,PHB,none,Trade Good,,,1 lb.,2 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Perfume (vial),PHB,none,adventuring gear,,,,5 gp,
Pig,PHB,none,Trade Good,,,,3 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Pike,PHB,none,"weapon, martial weapon, melee weapon",,"1d10, piercing, - heavy, reach, two-handed",18 lb.,5 gp," Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Platinum (pp),PHB,none,treasure,,,0.32 oz.,10 gp,"Common coins come in several different denominations based on the relative worth of the metal from which they are made. The three most common coins are the gold piece (gp), the silver piece (sp), and the copper piece (cp).With one gold piece, a character can buy a belt pouch, 50 feet of good rope, or a goat. A skilled (but not exceptional) artisan can earn one gold piece a day. The gold piece is the standard unit of measure for wealth, even if the coin itself is not commonly used. When merchants discuss deals that involve goods or services worth hundreds or thousands of gold pieces, the transactions don't usually involve the exchange of individual coins. Rather, the gold piece is a standard measure of value, and the actual exchange is in gold bars, letters of credit, or valuable goods.One gold piece is worth ten silver pieces, the most prevalent coin among commoners. A silver piece buys a laborer's work for a day, a flask of lamp oil, or a night's rest in a poor inn.One silver piece is worth ten copper pieces, which are common among laborers and beggars. A single copper piece buys a candle, a torch, or a piece of chalk.In addition, unusual coins made of other precious metals sometimes appear in treasure hoards. The electrum piece (ep) and the platinum piece (pp) originate from fallen empires and lost kingdoms, and they sometimes arouse suspicion and skepticism when used in transactions. An electrum piece is worth five silver pieces, and a platinum piece is worth ten gold pieces.A standard coin weighs about a third of an ounce, so fifty coins weigh a pound."
Platinum 10-Zino Coin,GGR,none,treasure,,,,10 gp,
Portable Ram,PHB,none,adventuring gear,,,35 lb.,4 gp,"You can use a portable ram to break down doors. When doing so, you gain a +4 bonus on the Strength check. One other character can help you use the ram, giving you advantage on this check."
Potter's Tools,PHB,none,Artisan's Tools,,,3 lb.,10 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Potter's tools are used to create a variety of ceramic objects, most typically pots and similar vessels. Components. Potter's tools include potter's needles, ribs, scrapers, a knife, and calipers. History. Your expertise aids you in identifying ceramic objects, including when they were created and their likely place or culture of origin. Investigation, Perception. You gain additional insight when inspecting ceramics, uncovering clues others would overlook by spotting minor irregularities. Reconstruction. By examining pottery shards, you can determine an object's original, intact form and its likely purpose.Potter's ToolsActivityDCDetermine what a vessel once held10Create a serviceable pot15Find a weak point in a ceramic object20See the Tool Proficiencies entry for more information."
Priest's Pack,PHB,none,adventuring gear,,,24 lb.,19 gp,Includes:a backpacka blanket10 candlesa tinderboxan alms box2 blocks of incensea censervestments2 days of rationsa waterskin.
Quiver,PHB,none,adventuring gear,,,1 lb.,1 gp,A quiver can hold up to 20 arrows.
Rain Catcher,ToA,none,adventuring gear,,,5 lb.,1 gp,"A rain catcher is a simple contraption consisting of a 5-foot-square leather tarp and a wooden frame with legs. When the tarp is stretched across the wooden frame, it forms a basin that can catch 2 gallons of drinking water per inch of rainfall and hold up to 8 gallons. The tarp and wooden frame fold up for easy transport."
Rapier,PHB,none,"weapon, martial weapon, melee weapon",,"1d8, piercing, - finesse",2 lb.,25 gp," Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls."
Reliquary,PHB,none,spellcasting focus,,,2 lb.,5 gp,"A holy symbol is a representation of a god or pantheon.A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
Renaissance Bullets (10),DMG,none,"ammunition, renaissance",,,2 lb.,3 gp,
Rhodochrosite,DMG,none,treasure,,,,10 gp,An opaque light pink gemstone.
Riding Saddle,PHB,none,tack and harness,,,25 lb.,10 gp,
Ring Mail,PHB,none,heavy armor,,AC 14,40 lb.,30 gp,"This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor.The wearer has disadvantage on Dexterity (Stealth) checks."
Robes,PHB,none,adventuring gear,,,4 lb.,1 gp,
Rod,PHB,none,spellcasting focus,,,2 lb.,10 gp,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
Saddlebags,PHB,none,tack and harness,,,8 lb.,4 gp,
Saffron,PHB,none,Trade Good,,,1 lb.,15 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Scholar's Pack,PHB,none,adventuring gear,,,10 lb.,40 gp,Includes:a backpacka book of lorea bottle of inkan ink pen10 sheets of parchmenta little bag of sanda small knife.
Scimitar,PHB,none,"weapon, martial weapon, melee weapon",,"1d6, slashing, - finesse, light",3 lb.,25 gp," Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
Shawm,PHB,none,Instrument,,,1 lb.,2 gp,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
Sheep,PHB,none,Trade Good,,,,2 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Shield,PHB,none,armor (shield),,AC +2,6 lb.,10 gp,A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time.
Shortbow,PHB,none,"weapon, range, simple weapon",,"1d6, piercing, - ammunition (80/320 ft.), two-handed",2 lb.,25 gp," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Shortsword,PHB,none,"weapon, martial weapon, melee weapon",,"1d6, piercing, - finesse, light",2 lb.,10 gp," Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
Shovel,PHB,none,adventuring gear,,,5 lb.,2 gp,
Sickle,PHB,none,"weapon, simple weapon, melee weapon",,"1d4, slashing, - light",2 lb.,1 gp," Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
Signet Ring,PHB,none,adventuring gear,,,,5 gp,
Silk (1 sq. yd.),PHB,none,Trade Good,,,,10 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Silk Rope (50 feet),PHB,none,adventuring gear,,,5 lb.,10 gp,"Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check."
Silver,PHB,none,Trade Good,,,1 lb.,5 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Silver ewer,DMG,none,treasure,,,,25 gp,
Sledgehammer,PHB,none,adventuring gear,,,10 lb.,2 gp,
Small gold bracelet,DMG,none,treasure,,,,25 gp,
Small mirror set in a painted wooden frame,DMG,none,treasure,,,,25 gp,
