Name,Source,Size,Type,Alignment,AC,HP,Speed,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,CR,Traits,Actions,Bonus Actions,Reactions,Legendary Actions,Mythic Actions,Lair Actions,Regional Effects,Environment
Gnoll,MM,Medium,humanoid (gnoll),chaotic evil,"15 (hide armor, shield)",22 (5d8),30 ft.,14,12,11,6,10,7,,,,,,,"darkvision 60 ft., passive Perception 10",Gnoll,0.5," Rampage. When the gnoll reduces a creature to 0 hit points with a melee attack on its turn, the gnoll can take a bonus action to move up to half its speed and make a bite attack."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage. Spear. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if used with two hands to make a melee attack. Longbow. Ranged Weapon Attack: +3 to hit, range 150/600 ft., one target. Hit: 5 (1d8 + 1) piercing damage.",,,,,,,"Desert, Forest, Grassland, Hill"
Hyena,MM,Medium,beast,unaligned,11,5 (1d8 + 1),50 ft.,11,13,12,2,12,5,,Perception +3,,,,,passive Perception 13,—,0.0, Pack Tactics. The hyena has advantage on an attack roll against a creature if at least one of the hyena's allies is within 5 feet of the creature and the ally isn't incapacitated.," Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) piercing damage.",,,,,,,"Desert, Forest, Grassland, Hill"
Giant Hyena,MM,Large,beast,unaligned,12,45 (6d10 + 12),50 ft.,16,14,14,2,12,7,,Perception +3,,,,,passive Perception 13,—,1.0," Rampage. When the hyena reduces a creature to 0 hit points with a melee attack on its turn, the hyena can take a bonus action to move up to half its speed and make a bite attack."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage.",,,,,,,"Desert, Forest, Grassland, Hill"
Meazel,MPMM,Medium,monstrosity,neutral evil,13,35 (10d8 - 10),30 ft.,8,17,9,14,13,10,,"Perception +3, Stealth +5",,,,,"darkvision 120 ft., passive Perception 13",Common,1.0,," Garrote. Melee Weapon Attack: +5 to hit, reach 5 ft., one target of the meazel's size or smaller. Hit: 6 (1d6 + 3) bludgeoning damage, and the target is grappled (escape DC 13 with disadvantage). Until the grapple ends, the target takes 10 (2d6 + 3) bludgeoning damage at the start of each of the meazel's turns. The meazel can't make weapon attacks while grappling a creature in this way. Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage plus 3 (1d6) necrotic damage Shadow Teleport (Recharge 5–6). The meazel, any equipment it is wearing or carrying, and any creature it is grappling teleport to an unoccupied space within 500 feet of it, provided that the starting space and the destination are in dim light or darkness. The destination must be a place the meazel has seen before, but it need not be within line of sight. If the destination space is occupied, the teleportation leads to the nearest unoccupied space.Any other creature the meazel teleports becomes cursed for 1 hour or until the curse is ended by remove curse or greater restoration. Until this curse ends, every Undead and every creature native to the Shadowfell within 300 feet of the cursed creature can sense it, which prevents that creature from hiding from them."," Shadow Stealth. While in dim light or darkness, the meazel takes the Hide action.",,,,,,"Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Urban"
Swarm of Centipedes,MM,Medium,swarm of tiny beasts,unaligned,12 (natural armor),22 (5d8),"20 ft., climb 20 ft.",3,13,10,1,7,1,,,,"bludgeoning, piercing, slashing",,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 8",—,0.5," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.A creature reduced to 0 hit points by a swarm of centipedes is stable but poisoned for 1 hour, even after regaining hit points, and paralyzed while poisoned in this way.",,,,,,,"Desert, Forest, Grassland, Hill, Swamp, Underdark, Urban"
Swarm of Beetles,MM,Medium,swarm of tiny beasts,unaligned,12 (natural armor),22 (5d8),"20 ft., burrow 5 ft., climb 20 ft.",3,13,10,1,7,1,,,,"bludgeoning, piercing, slashing",,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 8",—,0.5," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.",,,,,,,"Desert, Forest, Grassland, Hill, Swamp, Underdark, Urban"
Swarm of Wasps,MM,Medium,swarm of tiny beasts,unaligned,12 (natural armor),22 (5d8),"5 ft., fly 30 ft.",3,13,10,1,7,1,,,,"bludgeoning, piercing, slashing",,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 8",—,0.5," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.",,,,,,,"Desert, Forest, Grassland, Hill, Swamp, Underdark, Urban"
Swarm of Spiders,MM,Medium,swarm of tiny beasts,unaligned,12 (natural armor),22 (5d8),"20 ft., climb 20 ft.",3,13,10,1,7,1,,,,"bludgeoning, piercing, slashing",,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 8",—,0.5," Spider Climb. The swarm can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points. Web Sense. While in contact with a web, the swarm knows the exact location of any other creature in contact with the same web. Web Walker. The swarm ignores movement restrictions caused by webbing."," Bites. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.",,,,,,,"Desert, Forest, Grassland, Hill, Swamp, Underdark, Urban"
Swarm of Insects,MM,Medium,swarm of tiny beasts,unaligned,12 (natural armor),22 (5d8),"20 ft., climb 20 ft.",3,13,10,1,7,1,,,,"bludgeoning, piercing, slashing",,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 8",—,0.5," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.",,,,,,,"Desert, Forest, Grassland, Hill, Swamp, Underdark, Urban"
Hobgoblin,MM,Medium,humanoid (goblinoid),lawful evil,"18 (chain mail, shield)",11 (2d8 + 2),30 ft.,13,12,12,10,10,9,,,,,,,"darkvision 60 ft., passive Perception 10","Common, Goblin",0.5," Martial Advantage. Once per turn, the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 feet of an ally of the hobgoblin that isn't incapacitated."," Longsword. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) slashing damage, or 6 (1d10 + 1) slashing damage if used with two hands. Longbow. Ranged Weapon Attack: +3 to hit, range 150/600 ft., one target. Hit: 5 (1d8 + 1) piercing damage.",,,,,,,"Desert, Forest, Grassland, Hill, Underdark"
Giant Poisonous Snake,MM,Medium,beast,unaligned,14,11 (2d8 + 2),"30 ft., swim 30 ft.",10,18,13,2,10,3,,Perception +2,,,,,"blindsight 10 ft., passive Perception 12",—,0.25,," Bite. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 6 (1d4 + 4) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one.",,,,,,,"Desert, Forest, Grassland, Swamp, Underdark, Urban"
Cat,MM,Tiny,beast,unaligned,12,2 (1d4),"40 ft., climb 30 ft.",3,15,10,3,12,7,,"Perception +3, Stealth +4",,,,,passive Perception 13,—,0.0, Keen Smell. The cat has advantage on Wisdom (Perception) checks that rely on smell.," Claws. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 slashing damage.",,,,,,,"Desert, Forest, Grassland, Urban"
Flying Snake,MM,Tiny,beast,unaligned,14,5 (2d4),"30 ft., fly 60 ft., swim 30 ft.",4,18,11,2,12,5,,,,,,,"blindsight 10 ft., passive Perception 11",—,0.125, Flyby. The snake doesn't provoke opportunity attacks when it flies out of an enemy's reach.," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 1 piercing damage plus 7 (3d4) poison damage.",,,,,,,"Desert, Forest, Grassland, Urban"
Giant Spider,MM,Large,beast,unaligned,14 (natural armor),26 (4d10 + 4),"30 ft., climb 30 ft.",14,16,12,2,11,4,,Stealth +7,,,,,"blindsight 10 ft., darkvision 60 ft., passive Perception 10",—,1.0," Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web. Web Walker. The spider ignores movement restrictions caused by webbing."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 9 (2d8) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way. Web (Recharge 5–6). Ranged Weapon Attack: +5 to hit, range 30/60 ft., one creature. Hit: The target is restrained by webbing. As an action, the restrained target can make a DC 12 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10; hp 5; vulnerability to fire damage; immunity to bludgeoning, poison, and psychic damage).",,,,,,,"Desert, Forest, Swamp, Underdark, Urban"
Constrictor Snake,MM,Large,beast,unaligned,12,13 (2d10 + 2),"30 ft., swim 30 ft.",15,14,12,1,10,3,,,,,,,"blindsight 10 ft., passive Perception 10",—,0.25,," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage. Constrict. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 6 (1d8 + 2) bludgeoning damage, and the target is grappled (escape DC 14). Until this grapple ends, the creature is restrained, and the snake can't constrict another target.",,,,,,,"Desert, Forest, Swamp, Underwater"
Yuan-ti Pureblood,MM,Medium,humanoid (yuan-ti),neutral evil,11,40 (9d8),30 ft.,11,12,11,13,12,14,,"Deception +6, Perception +3, Stealth +3",,,poison,poisoned,"darkvision 60 ft., passive Perception 13","Abyssal, Common, Draconic",1.0," Innate Spellcasting. The yuan-ti's spellcasting ability is Charisma (spell save DC 12). The yuan-ti can innately cast the following spells, requiring no material components:At will: animal friendship (snakes only)3/day each: poison spray, suggestion Magic Resistance. The yuan-ti has advantage on saving throws against spells and other magical effects."," Multiattack. The yuan-ti makes two melee attacks. Scimitar. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) slashing damage. Shortbow. Ranged Weapon Attack: +3 to hit, range 80/320 ft., one target. Hit: 4 (1d6 + 1) piercing damage plus 7 (2d6) poison damage.",,,,,,,"Desert, Forest, Swamp, Urban"
Jackalwere,MM,Medium,humanoid (shapechanger),chaotic evil,12,18 (4d8),40 ft.,11,15,11,13,11,10,,"Deception +4, Perception +2, Stealth +4",,,"bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered",,passive Perception 12,Common (can't speak in jackal form),0.5," Shapechanger. The jackalwere can use its action to polymorph into a specific Medium human or a jackal-humanoid hybrid, or back into its true form (that of a Small jackal). Other than its size, its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies. Keen Hearing and Smell. The jackalwere has advantage on Wisdom (Perception) checks that rely on hearing or smell. Pack Tactics. The jackalwere has advantage on an attack roll against a creature if at least one of the jackalwere's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite (Jackal or Hybrid Form Only). Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Scimitar (Human or Hybrid Form Only). Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage. Sleep Gaze. The jackalwere gazes at one creature it can see within 30 feet of it. The target must make a DC 10 Wisdom saving throw. On a failed save, the target succumbs to a magical slumber, falling unconscious for 10 minutes or until someone uses an action to shake the target awake. A creature that successfully saves against the effect is immune to this jackalwere's gaze for the next 24 hours. Undead and creatures immune to being charmed aren't affected by it.",,,,,,,"Desert, Grassland"
Jackal,MM,Small,beast,unaligned,12,3 (1d6),40 ft.,8,15,11,3,12,6,,Perception +3,,,,,passive Perception 13,—,0.0, Keen Hearing and Smell. The jackal has advantage on Wisdom (Perception) checks that rely on hearing or smell. Pack Tactics. The jackal has advantage on an attack roll against a creature if at least one of the jackal's allies is within 5 feet of the creature and the ally isn't incapacitated.," Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) piercing damage.",,,,,,,"Desert, Grassland"
Thri-kreen,MM,Medium,humanoid (thri-kreen),chaotic neutral,15 (natural armor),33 (6d8 + 6),40 ft.,12,15,13,8,12,7,,"Perception +3, Stealth +4, Survival +3",,,,,"darkvision 60 ft., passive Perception 13",Thri-kreen,1.0," Chameleon Carapace. The thri-kreen can change the color of its carapace to match the color and texture of its surroundings. As a result, it has advantage on Dexterity (Stealth) checks made to hide. Standing Leap. The thri-kreen's long jump is up to 30 feet and its high jump is up to 15 feet, with or without a running start."," Multiattack. The thri-kreen makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 4 (1d6 + 1) piercing damage, and the target must succeed on a DC 11 Constitution saving throw or be poisoned for 1 minute. If the saving throw fails by 5 or more, the target is also paralyzed while poisoned in this way. The poisoned target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) slashing damage.",,,,,,,"Desert, Grassland"
Giant Vulture,MM,Large,beast,neutral evil,10,22 (3d10 + 6),"10 ft., fly 60 ft.",15,10,15,6,12,7,,Perception +3,,,,,passive Perception 13,understands Common but can't speak,1.0, Keen Sight and Smell. The vulture has advantage on Wisdom (Perception) checks that rely on sight or smell. Pack Tactics. The vulture has advantage on an attack roll against a creature if at least one of the vulture's allies is within 5 feet of the creature and the ally isn't incapacitated.," Multiattack. The vulture makes two attacks: one with its beak and one with its talons. Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage. Talons. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) slashing damage.",,,,,,,"Desert, Grassland"
Vulture,MM,Medium,beast,unaligned,10,5 (1d8 + 1),"10 ft., fly 50 ft.",7,10,13,2,12,4,,Perception +3,,,,,passive Perception 13,—,0.0, Keen Sight and Smell. The vulture has advantage on Wisdom (Perception) checks that rely on sight or smell. Pack Tactics. The vulture has advantage on an attack roll against a creature if at least one of the vulture's allies is within 5 feet of the creature and the ally isn't incapacitated.," Beak. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage.",,,,,,,"Desert, Grassland, Hill"
Lion,MM,Large,beast,unaligned,12,26 (4d10 + 4),50 ft.,17,15,13,3,12,8,,"Perception +3, Stealth +6",,,,,passive Perception 13,—,1.0," Keen Smell. The lion has advantage on Wisdom (Perception) checks that rely on smell. Pack Tactics. The lion has advantage on an attack roll against a creature if at least one of the lion's allies is within 5 feet of the creature and the ally isn't incapacitated. Pounce. If the lion moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the lion can make one bite attack against it as a bonus action. Running Leap. With a 10-foot running start, the lion can long jump up to 25 feet."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage. Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.",,,,,,,"Desert, Grassland, Hill, Mountain"
Firenewt Warrior,MPMM,Medium,elemental,neutral,13 (shield),27 (5d8 + 5),30 ft.,10,13,12,7,11,8,,,,,fire,,passive Perception 10,"Draconic, Ignan",0.5, Amphibious. The firenewt can breathe air and water.," Multiattack. The firenewt makes two Scimitar attacks. Scimitar. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) slashing damage. Spit Fire (Recharges after a Short or Long Rest). The firenewt spits fire at a creature within 10 feet of it. The creature must make a DC 11 Dexterity saving throw, taking 9 (2d8) fire damage on a failed save, or half as much damage on a successful one.",,,,,,,"Desert, Hill, Mountain, Underdark"
Mule,MM,Medium,beast,unaligned,10,11 (2d8 + 2),40 ft.,14,10,13,2,10,5,,,,,,,passive Perception 10,—,0.125, Beast of Burden. The mule is considered to be a Large animal for the purpose of determining its carrying capacity. Sure-Footed. The mule has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.," Hooves. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.",,,,,,,"Desert, Hill, Urban"
Young Kruthik,MPMM,Small,monstrosity,unaligned,16 (natural armor),9 (2d6 + 2),"30 ft., burrow 10 ft., climb 30 ft.",13,16,13,4,10,6,,Perception +4,,,,,"darkvision 30 ft., tremorsense 60 ft., passive Perception 14",Kruthik,0.125, Pack Tactics. The kruthik has advantage on an attack roll against a creature if at least one of the kruthik's allies is within 5 feet of the creature and the ally isn't incapacitated. Tunneler. The kruthik can burrow through solid rock at half its burrowing speed and leaves a 2½-foot-diameter tunnel in its wake.," Stab. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.",,,,,,,"Desert, Mountain, Underdark"
Stone Cursed,MPMM,Medium,construct,lawful evil,17 (natural armor),19 (3d8 + 6),10 ft.,16,5,14,5,8,7,,,bludgeoning,,poison,"charmed, exhaustion, frightened, petrified, poisoned",passive Perception 9,the languages it knew in life,1.0," Cunning Opportunist. The stone cursed has advantage on the attack rolls of opportunity attacks. False Appearance. If the stone cursed is motionless at the start of combat, it has advantage on its initiative roll. Moreover, if a creature hasn't observed the stone cursed move or act, that creature must succeed on a DC 18 Intelligence (Investigation) check to discern that the stone cursed isn't a statue. Unusual Nature. The stone cursed doesn't require air, food, drink, or sleep."," Petrifying Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 12 (2d8 + 3) slashing damage. If the target is a creature, it must succeed on a DC 12 Constitution saving throw, or it begins to turn to stone and is restrained until the end of its next turn, when it must repeat the saving throw. The effect ends if the second save is successful; otherwise the target is petrified for 24 hours.",,,,,,,"Desert, Mountain, Urban"
Vargouille,MPMM,Tiny,fiend,chaotic evil,12,18 (4d4 + 8),"5 ft., fly 40 ft.",6,14,14,4,7,2,,,,"cold, fire, lightning",poison,poisoned,"darkvision 60 ft., passive Perception 8","understands Abyssal, Infernal, and any languages it knew before becoming a vargouille but can't speak",1.0,," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage plus 10 (3d6) poison damage. Abyssal Curse. The vargouille targets one incapacitated Humanoid within 5 feet of it. The target must succeed on a DC 12 Charisma saving throw or become cursed. The cursed target loses 1 point of Charisma after each hour, as its head takes on fiendish aspects. The curse doesn't advance while the target is in sunlight or the area of a daylight spell; don't count that time. When the cursed target's Charisma becomes 2, it dies, and its head tears from its body and becomes a new vargouille. Casting remove curse, greater restoration, or a similar spell on the target before the transformation is complete can end the curse. Doing so undoes the changes made to the target by the curse. Stunning Shriek (Recharge 5–6). The vargouille shrieks. Each Humanoid and Beast within 30 feet of the vargouille and able to hear it must succeed on a DC 12 Wisdom saving throw or be frightened of the vargouille until the end of the vargouille's next turn. While frightened in this way, a target is stunned. If a target's saving throw is successful or the effect ends for it, the target is immune to the Stunning Shriek of all vargouilles for 1 hour.",,,,,,,"Desert, Swamp, Underdark"
Sprite,MM,Tiny,fey,neutral good,15 (leather armor),2 (1d4),"10 ft., fly 40 ft.",3,18,10,14,13,11,,"Perception +3, Stealth +8",,,,,passive Perception 13,"Common, Elvish, Sylvan",0.25,," Longsword. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 1 slashing damage. Shortbow. Ranged Weapon Attack: +6 to hit, range 40/160 ft., one target. Hit: 1 piercing damage, and the target must succeed on a DC 10 Constitution saving throw or become poisoned for 1 minute. If its saving throw result is 5 or lower, the poisoned target falls unconscious for the same duration, or until it takes damage or another creature takes an action to shake it awake. Heart Sight. The sprite touches a creature and magically knows the creature's current emotional state. If the target fails a DC 10 Charisma saving throw, the sprite also knows the creature's alignment. Celestials, fiends, and undead automatically fail the saving throw. Invisibility. The sprite magically turns invisible until it attacks or casts a spell, or until its concentration ends (as if concentrating on a spell). Any equipment the sprite wears or carries is invisible with it.",,,,,,,Forest
Twig Blight,MM,Small,plant,neutral evil,13 (natural armor),4 (1d6 + 1),20 ft.,6,13,12,4,8,3,,Stealth +3,fire,,,"blinded, deafened","blindsight 60 ft. (blind beyond this radius), passive Perception 9",understands Common but can't speak,0.125," False Appearance. While the blight remains motionless, it is indistinguishable from a dead shrub."," Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage.",,,,,,,Forest
Grung,MPMM,Small,humanoid,any alignment,12,11 (2d6 + 4),"25 ft., climb 25 ft.",7,14,15,10,11,10,Dex +4,"Athletics +2, Perception +2, Stealth +4, Survival +2",,,poison,poisoned,passive Perception 12,Grung,0.25," Amphibious. The grung can breathe air and water. Poisonous Skin. Any creature that grapples the grung or otherwise comes into direct contact with the grung's skin must succeed on a DC 12 Constitution saving throw or become poisoned for 1 minute. A poisoned creature no longer in direct contact with the grung can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Standing Leap. The grung's long jump is up to 25 feet and its high jump is up to 15 feet, with or without a running start. Water Dependency. If the grung isn't immersed in water for at least 1 hour during a day, it suffers 1 level of exhaustion at the end of that day. The grung can recover from this exhaustion only through magic or by immersing itself in water for at least 1 hour."," Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage plus 5 (2d4) poison damage.",,,,,,,Forest
Grung Wildling,MPMM,Small,humanoid,any alignment,16 (natural armor),27 (5d6 + 10),"25 ft., climb 25 ft.",7,16,15,10,15,11,Dex +5,"Athletics +2, Perception +4, Stealth +5, Survival +4",,,poison,poisoned,passive Perception 14,Grung,1.0," Amphibious. The grung can breathe air and water. Poisonous Skin. Any creature that grapples the grung or otherwise comes into direct contact with the grung's skin must succeed on a DC 12 Constitution saving throw or become poisoned for 1 minute. A poisoned creature no longer in direct contact with the grung can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Standing Leap. The grung's long jump is up to 25 feet and its high jump is up to 15 feet, with or without a running start. Water Dependency. If the grung isn't immersed in water for at least 1 hour during a day, it suffers 1 level of exhaustion at the end of that day. The grung can recover from this exhaustion only through magic or by immersing itself in water for at least 1 hour."," Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d4 + 3) piercing damage plus 5 (2d4) poison damage. Shortbow. Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage plus 5 (2d4) poison damage. Spellcasting. The grung casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 12):At will: druidcraft3/day each: cure wounds, spike growth2/day: plant growth",,,,,,,Forest
Pixie,MM,Tiny,fey,neutral good,15,1 (1d4 - 1),"10 ft., fly 30 ft.",2,20,8,10,14,15,,"Perception +4, Stealth +7",,,,,passive Perception 14,Sylvan,0.25," Innate Spellcasting. The pixie's innate spellcasting ability is Charisma (spell save DC 12). It can innately cast the following spells, requiring only its pixie dust as a component:At will: druidcraft1/day each: confusion, dancing lights, detect evil and good, detect thoughts, dispel magic, entangle, fly, phantasmal force, polymorph, sleep Magic Resistance. The pixie has advantage on saving throws against spells and other magical effects.", Superior Invisibility. The pixie magically turns invisible until its concentration ends (as if concentrating on a spell). Any equipment the pixie wears or carries is invisible with it.,,,,,,,Forest
Blink Dog,MM,Medium,fey,lawful good,13,22 (4d8 + 4),40 ft.,12,17,12,10,13,11,,"Perception +3, Stealth +5",,,,,passive Perception 13,"Blink Dog, understands Sylvan but can't speak it",0.25, Keen Hearing and Smell. The dog has advantage on Wisdom (Perception) checks that rely on hearing or smell.," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage. Teleport (Recharge 4–6). The dog magically teleports, along with any equipment it is wearing or carrying, up to 40 feet to an unoccupied space it can see. Before or after teleporting, the dog can make one bite attack.",,,,,,,Forest
Awakened Shrub,MM,Small,plant,unaligned,9,10 (3d6),20 ft.,3,8,11,10,10,6,,,fire,piercing,,,passive Perception 10,one language known by its creator,0.0," False Appearance. While the shrub remains motionless, it is indistinguishable from a normal shrub."," Rake. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) slashing damage.",,,,,,,Forest
Needle Blight,MM,Medium,plant,neutral evil,12 (natural armor),11 (2d8 + 2),30 ft.,12,12,13,4,8,3,,,,,,"blinded, deafened","blindsight 60 ft. (blind beyond this radius), passive Perception 9",understands Common but can't speak,0.25,," Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) piercing damage. Needles. Ranged Weapon Attack: +3 to hit, range 30/60 ft., one target. Hit: 8 (2d6 + 1) piercing damage.",,,,,,,Forest
Satyr,MM,Medium,fey,chaotic neutral,14 (leather armor),31 (7d8),40 ft.,12,16,11,12,10,14,,"Perception +2, Performance +6, Stealth +5",,,,,passive Perception 12,"Common, Elvish, Sylvan",0.5, Magic Resistance. The satyr has advantage on saving throws against spells and other magical effects.," Ram. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) bludgeoning damage. Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage. Shortbow. Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage.",,,,,,,Forest
Badger,MM,Tiny,beast,unaligned,10,3 (1d4 + 1),"20 ft., burrow 5 ft.",4,11,12,2,12,5,,,,,,,"darkvision 30 ft., passive Perception 11",—,0.0, Keen Smell. The badger has advantage on Wisdom (Perception) checks that rely on smell.," Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",,,,,,,Forest
